"TimeStamp","Path","Value"
"03_08_2022-17:32:29","\\usni25pxed\physicaldisk(0 c:)\% idle time","98.4724643157279"
"03_08_2022-17:32:29","\\usni25pxed\physicaldisk(_total)\% idle time","98.4724643157279"
"03_08_2022-17:32:29","\\usni25pxed\physicaldisk(_total)\avg. disk sec/read","0"
"03_08_2022-17:32:29","\\usni25pxed\physicaldisk(_total)\avg. disk sec/write","0.000226340350877193"
"03_08_2022-17:32:29","\\usni25pxed\memory\pages/sec","10.9864383405125"
"03_08_2022-17:32:29","\\usni25pxed\memory\available mbytes","20693"
"03_08_2022-17:32:29","\\usni25pxed\processor(_total)\% processor time","74.4510956916853"
"03_08_2022-17:32:29","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\bytes total/sec","128137.826666763"
"03_08_2022-17:32:29","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\output queue length","0"
"03_08_2022-17:32:29","\\usni25pxed\logicaldisk(c:)\% free space","61.9991472229397"
"03_08_2022-17:32:29","\\usni25pxed\logicaldisk(harddiskvolume1)\avg. disk queue length","0"
"03_08_2022-17:32:29","\\usni25pxed\logicaldisk(harddiskvolume2)\avg. disk queue length","0"
"03_08_2022-17:32:29","\\usni25pxed\logicaldisk(c:)\avg. disk queue length","0.0130169306573192"
"03_08_2022-17:32:29","\\usni25pxed\logicaldisk(_total)\avg. disk queue length","0.0130169306573192"
"03_08_2022-17:32:30","\\usni25pxed\physicaldisk(0 c:)\% idle time","96.6911724914225"
"03_08_2022-17:32:30","\\usni25pxed\physicaldisk(_total)\% idle time","96.6911724914225"
"03_08_2022-17:32:30","\\usni25pxed\physicaldisk(_total)\avg. disk sec/read","0"
"03_08_2022-17:32:30","\\usni25pxed\physicaldisk(_total)\avg. disk sec/write","0.00136960416666667"
"03_08_2022-17:32:30","\\usni25pxed\memory\pages/sec","8.69867611948579"
"03_08_2022-17:32:30","\\usni25pxed\memory\available mbytes","20643"
"03_08_2022-17:32:30","\\usni25pxed\processor(_total)\% processor time","23.5388943014207"
"03_08_2022-17:32:30","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\bytes total/sec","17269.7716558858"
"03_08_2022-17:32:30","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\output queue length","0"
"03_08_2022-17:32:30","\\usni25pxed\logicaldisk(c:)\% free space","61.9991472229397"
"03_08_2022-17:32:30","\\usni25pxed\logicaldisk(harddiskvolume1)\avg. disk queue length","0"
"03_08_2022-17:32:30","\\usni25pxed\logicaldisk(harddiskvolume2)\avg. disk queue length","0"
"03_08_2022-17:32:30","\\usni25pxed\logicaldisk(c:)\avg. disk queue length","0.0318635465866589"
"03_08_2022-17:32:30","\\usni25pxed\logicaldisk(_total)\avg. disk queue length","0.0318635465866589"
"03_08_2022-17:32:31","\\usni25pxed\physicaldisk(0 c:)\% idle time","98.5790054266434"
"03_08_2022-17:32:31","\\usni25pxed\physicaldisk(_total)\% idle time","98.5790054266434"
"03_08_2022-17:32:31","\\usni25pxed\physicaldisk(_total)\avg. disk sec/read","0"
"03_08_2022-17:32:31","\\usni25pxed\physicaldisk(_total)\avg. disk sec/write","0.000347994285714286"
"03_08_2022-17:32:31","\\usni25pxed\memory\pages/sec","15.9741171380013"
"03_08_2022-17:32:31","\\usni25pxed\memory\available mbytes","20601"
"03_08_2022-17:32:31","\\usni25pxed\processor(_total)\% processor time","17.50916945423"
"03_08_2022-17:32:31","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\bytes total/sec","32215.8007380641"
"03_08_2022-17:32:31","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\output queue length","0"
"03_08_2022-17:32:31","\\usni25pxed\logicaldisk(c:)\% free space","61.9991472229397"
"03_08_2022-17:32:31","\\usni25pxed\logicaldisk(harddiskvolume1)\avg. disk queue length","0"
"03_08_2022-17:32:31","\\usni25pxed\logicaldisk(harddiskvolume2)\avg. disk queue length","0"
"03_08_2022-17:32:31","\\usni25pxed\logicaldisk(c:)\avg. disk queue length","0.0122648127598145"
"03_08_2022-17:32:31","\\usni25pxed\logicaldisk(_total)\avg. disk queue length","0.0122648127598145"
"03_08_2022-17:32:32","\\usni25pxed\physicaldisk(0 c:)\% idle time","98.582028894774"
"03_08_2022-17:32:32","\\usni25pxed\physicaldisk(_total)\% idle time","98.582028894774"
"03_08_2022-17:32:32","\\usni25pxed\physicaldisk(_total)\avg. disk sec/read","0"
"03_08_2022-17:32:32","\\usni25pxed\physicaldisk(_total)\avg. disk sec/write","0.00025371"
"03_08_2022-17:32:32","\\usni25pxed\memory\pages/sec","0"
"03_08_2022-17:32:32","\\usni25pxed\memory\available mbytes","20565"
